Issue key,Issue id,Parent id,Summary,Issue Type,Status,Resolution,Assignee,Created,Updated,Resolved,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Custom field (Estimated Points),Custom field (Actual Points)
CD-1716,1024696,,7.4.3.0_ITC2i testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,20/Mar/17 8:15 AM,04/Apr/17 11:39 AM,30/Mar/17 1:15 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1717,1024699,,7.3.2.5.cs.3_FV testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,20/Mar/17 8:23 AM,04/Apr/17 11:39 AM,24/Mar/17 2:30 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,0.5,0.5
CD-1718,1024700,,7.3.2.5.cs.3_FV testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,20/Mar/17 8:23 AM,04/Apr/17 11:39 AM,24/Mar/17 2:31 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,0.5,0.5
CD-1719,1024701,,7.3.2.5.cs.3_FV testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,20/Mar/17 8:24 AM,04/Apr/17 11:39 AM,30/Mar/17 1:14 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,1.0,1.0
CD-1720,1024703,,8.0.7.0-1i testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,20/Mar/17 8:25 AM,04/Apr/17 11:38 AM,30/Mar/17 1:14 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,6.0,6.0
CD-1721,1025804,,Support new internal licensing - cosmetic changes,Enhancement,Closed,Done,elvedin.mustafic,28/Mar/17 9:55 AM,04/Apr/17 11:38 AM,30/Mar/17 4:09 PM,Done in Mar 2017,,,Maintenance Hardware,,,2.0,3.0
CD-1722,1026258,,Cannode-Detection Testing,Task,Closed,Done,hleberer,30/Mar/17 1:31 PM,04/Apr/17 11:38 AM,30/Mar/17 4:09 PM,Done in Mar 2017,,,Maintenance Hardware,,,3.0,3.0
CD-1723,1026324,,"CPE, Bug fixing",Task,Closed,Done,elvedin.mustafic,31/Mar/17 7:34 AM,10/May/17 3:24 PM,02/May/17 1:32 PM,Done in Apr 2017,,,Maintenance Hardware,,,8.0,31.0
CD-1724,1026347,,8.0.7.0-2i testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,31/Mar/17 9:55 AM,04/Apr/17 11:38 AM,31/Mar/17 3:42 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-1725,1026348,,8.0.7.0-2i testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,31/Mar/17 9:56 AM,04/Apr/17 11:38 AM,31/Mar/17 3:42 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-1726,1026349,,7.3.4.7_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,31/Mar/17 9:57 AM,04/Apr/17 11:38 AM,31/Mar/17 3:42 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1727,1026350,,7.3.4.7_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,31/Mar/17 9:59 AM,04/Apr/17 11:38 AM,31/Mar/17 3:42 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1728,1026351,,7.3.4.7_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,31/Mar/17 10:01 AM,04/Apr/17 11:38 AM,31/Mar/17 3:42 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1729,1026352,,8.0.7.0-2i testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,31/Mar/17 10:02 AM,04/Apr/17 11:38 AM,31/Mar/17 12:21 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1730,1026353,,8.0.7.0-2i testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,31/Mar/17 10:02 AM,04/Apr/17 11:38 AM,31/Mar/17 12:20 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.5,3.5
CD-1731,1026354,,7.3.4.7_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,31/Mar/17 10:04 AM,04/Apr/17 11:38 AM,31/Mar/17 12:24 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,4.5,4.5
CD-1732,1026355,,7.3.4.7_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,31/Mar/17 10:04 AM,04/Apr/17 11:38 AM,31/Mar/17 12:23 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,5.0,5.0
CD-1734,1026390,,EK050-26593-001,Task,Closed,Done,bharadwaj.chalamacha,31/Mar/17 1:10 PM,04/Apr/17 11:38 AM,31/Mar/17 1:10 PM,Done in Mar 2017,,,PCB-Layout,,,5.0,5.0
CD-1735,1026391,,EK050-26530-002-fab,Task,Closed,Done,prabhavathy.venkatac,31/Mar/17 1:15 PM,04/May/17 5:25 PM,02/May/17 3:17 PM,Done in Apr 2017,,,PCB-Layout,,,3.0,10.0
CD-1736,1026392,,Redesign of EK050-26520-003,Task,Closed,Done,bharadwaj.chalamacha,31/Mar/17 1:18 PM,04/May/17 5:25 PM,02/May/17 3:05 PM,Done in Apr 2017,,,PCB-Layout,,,10.0,15.0
CD-1737,1026393,,Part Setup,Task,Closed,Done,prabhavathy.venkatac,31/Mar/17 1:19 PM,04/May/17 5:25 PM,02/May/17 3:20 PM,Done in Apr 2017,,,PCB-Layout,,,15.0,10.0
CD-1738,1026394,,EK050-26540-001-Apr,Task,Closed,Done,prabhavathy.venkatac,31/Mar/17 1:26 PM,04/May/17 5:25 PM,02/May/17 3:29 PM,Done in Apr 2017,,,PCB-Layout,,,25.0,17.5
CD-1739,1026400,,New design of EK051-26502-001,Task,Closed,Done,bharadwaj.chalamacha,31/Mar/17 1:31 PM,04/May/17 5:25 PM,02/May/17 3:07 PM,Done in Apr 2017,,,PCB-Layout,,,20.0,20.0
CD-1740,1026413,998673,Garage HW Xilinx/ Altera,Sub-task,Closed,Done,tanzeelur.rehman,31/Mar/17 2:39 PM,04/May/17 5:25 PM,03/May/17 2:06 PM,Done in Apr 2017,,,FPGA,,,10.0,22.0
CD-1741,1026416,998673,Garage Interface IP integration into CB PP support,Sub-task,Closed,Done,tanzeelur.rehman,31/Mar/17 2:41 PM,04/May/17 5:25 PM,03/May/17 2:07 PM,Done in Apr 2017,,,FPGA,,,10.0,8.0
CD-1742,1026420,,Garage Protocol Project,Task,Pre-Planning,,tanzeelur.rehman,31/Mar/17 2:55 PM,05/Mar/18 12:21 PM,,,,,FPGA,,,,
CD-1744,1026422,,CIC design support,Task,Closed,Done,tanzeelur.rehman,31/Mar/17 2:57 PM,04/May/17 5:25 PM,03/May/17 2:07 PM,Done in Apr 2017,,,FPGA,,,4.0,6.0
CD-1745,1027268,,Maintenance facade,Task,Closed,Done,robert.adonyi,04/Apr/17 4:48 PM,04/May/17 5:25 PM,02/May/17 1:32 PM,Done in Apr 2017,,,Maintenance Hardware,,,6.0,6.0
